panel,measure_category,general_domain,domain_name,scale_type,scale_length,time_frame,survey_item,response_options,original_varcode,varcode,info_source,comment,reverse_coding,behav_type,behav_paid,dependencies
BBRS,Propensity,Domain_specific,Gen.Health,Composite,NA,NA,"DOSPERT Propensity Health Score
Geben Sie für jede der folgenden Aussagen an, mit welcher Wahrscheinlichkeit Sie der genannten Aktivität oder Verhaltensweise nachgehen würden...

eine illegale Droge für den eigenen Gebrauch kaufen? 
fünf oder mehr Gläser Alkohol an einem einzigen Abend zu sich nehmen? 
sich auf ungeschützten Sex einlassen? 
sich auf dem Beifahrersitz im Auto nicht anschnallen? 
ohne Helm Motorrad fahren? 
sich der Sonne aussetzen, ohne sich eingecremt zu haben? 
nachts alleine durch einen unsicheren Stadtteil nach Hause gehen?
regelmäßig hoch cholesterinhaltiges Essen zu sich nehmen? 

[Official: For each of the following statements, please indicate your likelihood of engaging in each activity or behavior...
Buying an illegal drug for your own use.         
Consuming five or more servings of alcohol in a single evening.         
Engaging in unprotected sex.         
Not wearing a seatbelt when being a passenger in the front seat.         
Not wearing a helmet when riding a motorcycle.         
Exposing yourself to the sun without using sunscreen.         
Walking home alone at night in a somewhat unsafe area of town.         
Regularly eating high cholesterol foods. 
]","Calculating the average likelihood of engaging in these different activities. Based on the raw ratings of the following scale:
1 sehr unwahrscheinlich
2 unwahrscheinlich
3 nicht sicher
4 wahrscheinlich
5 sehr wahrscheinlich

[Official:                                
1 Very  unlikely
2 Unlikely
3 Not sure
4 Likely
5 Very likely]",Dhea,DOSPERT40_HEA,"BBRS codebook : https://osf.io/7ren6/
Questionnaire: https://osf.io/j693v/","data from:
main-quest_proc.csv: https://osf.io/6nzw4/
retest_basel-quest_proc.csv: https://osf.io/yn39k/
retest_berlin-quest_proc.csv: https://osf.io/cwq3x/
DOSPERT, likelihood of behavior... health
Translation from the original DOSPERT 40 : https://www8.gsb.columbia.edu/decisionsciences/research/tools/dospert",N,NA,NA,NA
BBRS,Propensity,Domain_specific,Investment,Composite,NA,NA,"DOSPERT Propensity Investment Score
Geben Sie für jede der folgenden Aussagen an, mit welcher Wahrscheinlichkeit Sie der genannten Aktivität oder Verhaltensweise nachgehen würden....

10% Ihres Jahreseinkommens in einen mäßig wachsendes Wertpapierdepot investieren? 
5% Ihres Jahreseinkommens in eine sehr spekulative Aktie investieren? 
5% Ihres Jahreseinkommens in eine konservative Aktie investieren? 
10% Ihres Jahreseinkommens in Staatsanleihen (Schatzbriefe) investieren? 

[Official: For each of the following statements, please indicate your likelihood of engaging in each activity or behavior...
Investing 10% of your annual income in a moderate growth mutual fund.    
Investing 5% of your annual income in a very speculative stock.         
Investing 5% of your annual income in a conservative stock. 
Investing 10% of your annual income in government bonds (treasury bills).         

]","Calculating the average likelihood of engaging in these different activities. Based on the raw ratings of the following scale:
1 sehr unwahrscheinlich
2 unwahrscheinlich
3 nicht sicher
4 wahrscheinlich
5 sehr wahrscheinlich

[Official:                                
1 Very  unlikely
2 Unlikely
3 Not sure
4 Likely
5 Very likely]",Dinv,DOSPERT40_INV,"BBRS codebook : https://osf.io/7ren6/
Questionnaire: https://osf.io/j693v/","data from:
main-quest_proc.csv: https://osf.io/6nzw4/
retest_basel-quest_proc.csv: https://osf.io/yn39k/
retest_berlin-quest_proc.csv: https://osf.io/cwq3x/
DOSPERT, likelihood of behavior... investment
Translation from the original DOSPERT 40 : https://www8.gsb.columbia.edu/decisionsciences/research/tools/dospert",N,NA,NA,NA
BBRS,Propensity,Domain_specific,Recreation,Composite,NA,NA,"DOSPERT Propensity Recreational Score
Geben Sie für jede der folgenden Aussagen an, mit welcher Wahrscheinlichkeit Sie der genannten Aktivität oder Verhaltensweise nachgehen würden....

in der Wildnis fernab von Zivilisation und Campingplätzen zelten? 
einen Tornado mit dem Auto verfolgen, um dramatische Bilder machen zu können? 
in einem Dritte-Weltland Urlaub machen, ohne die Fahrt und die Hotel Unterbringung vorgeplant zu haben? 
eine Skipiste befahren, die Ihre Fähigkeiten übersteigt oder geschlossen ist? 
während der starken Wasserströmung im Frühling an einer Wildwasser-   Schlauchboot-Tour teilnehmen? 
wenigstens einmal Bungee-Jumping ausprobieren? 
Ihr eigenes, kleines Flugzeug fliegen, wenn Sie die Gelegenheit hätten?
regelmäßig gefährlichen Sport (wie z. B . Klettern, Fallschirmspringen etc.) treiben? 

[Official: For each of the following statements, please indicate your likelihood of engaging in each activity or behavior...
Going camping in the wilderness, beyond the civilization of a campground
Chasing a tornado or hurricane by car to take dramatic photos.         
Going on a vacation in a third-world country without prearranged travel and hotel accommodations.         
Going down a ski run that is beyond your ability or closed. 
Going whitewater rafting during rapid water flows in the spring.  
Trying out bungee jumping at least once.         
Piloting your own small plane, if you could. 
Periodically engaging in a dangerous sport (e.g. mountain climbing or sky diving).]","Calculating the average likelihood of engaging in these different activities. Based on the raw ratings of the following scale:
1 sehr unwahrscheinlich
2 unwahrscheinlich
3 nicht sicher
4 wahrscheinlich
5 sehr wahrscheinlich

[Official:                                
1 Very  unlikely
2 Unlikely
3 Not sure
4 Likely
5 Very likely]",Drec,DOSPERT40_REC,"BBRS codebook : https://osf.io/7ren6/
Questionnaire: https://osf.io/j693v/","data from:
main-quest_proc.csv: https://osf.io/6nzw4/
retest_basel-quest_proc.csv: https://osf.io/yn39k/
retest_berlin-quest_proc.csv: https://osf.io/cwq3x/
DOSPERT, likelihood of behavior... recreational
Translation from the original DOSPERT 40 : https://www8.gsb.columbia.edu/decisionsciences/research/tools/dospert",N,NA,NA,NA
BBRS,Propensity,Domain_specific,Social,Composite,NA,NA,"DOSPERT Propensity Social Score
Geben Sie für jede der folgenden Aussagen an, mit welcher Wahrscheinlichkeit Sie der genannten Aktivität oder Verhaltensweise nachgehen würden....

zugeben, daß Ihr Geschmack anders ist als der Ihrer Freunde? 
bei einem wichtigem Thema anderer Meinung sein als Ihr Vater? 
Ihren Chef um eine Gehaltserhöhung bitten? 
gelegentlich provokative oder unkonventionelle Kleidung tragen? 
einen Job, der Spaß macht, einem Job mit Prestige aber weniger Spaß vorziehen?
eine heikle Sache, an die Sie glauben, bei einem öffentlichen Anlaß verteidigen?      
über eine Angelegenheit mit einem Freund/einer Freundin diskutieren, über die  er/sie eine andere Meinung hat? 
Einem/r Freund/in erzählen, daß dessen/deren Partner Dir Avancen gemacht hat?


[Official: 
For each of the following statements, please indicate your likelihood of engaging in each activity or behavior...
Admitting that your tastes are different from those of your friends.
Disagreeing with your father on a major issue. 
Arguing with a friend about an issue on which he or she has a very different opinion. 
Approaching your boss to ask for a raise.         
Telling a friend if his or her significant other has made a pass at you. 
Wearing provocative or unconventional clothes on occasion. 
Taking a job that you enjoy over one that is prestigious but less enjoyable
Defending an unpopular issue that you believe in at a social occasion.]","Calculating the average likelihood of engaging in these different activities. Based on the raw ratings of the following scale:
1 sehr unwahrscheinlich
2 unwahrscheinlich
3 nicht sicher
4 wahrscheinlich
5 sehr wahrscheinlich

[Official:                                
1 Very  unlikely
2 Unlikely
3 Not sure
4 Likely
5 Very likely]",Dsoc,DOSPERT40_SOC,"BBRS codebook : https://osf.io/7ren6/
Questionnaire: https://osf.io/j693v/","data from:
main-quest_proc.csv: https://osf.io/6nzw4/
retest_basel-quest_proc.csv: https://osf.io/yn39k/
retest_berlin-quest_proc.csv: https://osf.io/cwq3x/
DOSPERT, likelihood of behavior... social
Translation from the original DOSPERT 40 : https://www8.gsb.columbia.edu/decisionsciences/research/tools/dospert",N,NA,NA,NA
BBRS,Propensity,Domain_specific,Gambling,Composite,NA,NA,"
Gambling Attitude and Belief Scale (Strong et al., 2004)","Composite score based on the following ordinal scale:
völlige Zustimmung
Zustimmung
Ablehnung
völlige Ablehnung

[Official: strongly agree, agree, disagree, strongly disagree]",GABS_raw,GABS,"BBRS codebook : https://osf.io/7ren6/
Questionnaire: https://osf.io/j693v/","data from:
main-quest_proc.csv: https://osf.io/6nzw4/
retest_basel-quest_proc.csv: https://osf.io/yn39k/
retest_berlin-quest_proc.csv: https://osf.io/cwq3x/
variable not listed in the MAIN codebook

",N,NA,NA,NA
BBRS,Propensity,Domain_specific,Driving,Ordinal,11,NA,"Wie würden Sie Ihre Risikobereitschaft im Vergleich zu der Bevölkerung in Bezug auf die folgenden Bereiche einschätzen? beim Autofahren?

[AB: How do you evaluate your attitude towards risk in comparison to the population regarding the following areas? How is it while driving a car?]","0  ""gar nicht risikobereit"" 
 10 ""sehr risikobereit""

[Official: 0 ""risk averse/not at all willing to take risks"" ; 10 ""fully prepared to take risks""",SOEPdri_COMP,RISK_DRI_COMP_ORD11A,"BBRS codebook : https://osf.io/7ren6/
Questionnaire: https://osf.io/j693v/","data from:
main-quest_proc.csv: https://osf.io/6nzw4/
retest_basel-quest_proc.csv: https://osf.io/yn39k/
retest_berlin-quest_proc.csv: https://osf.io/cwq3x/
variable not listed in the MAIN codebook
Modified version of SOEP item
",N,NA,NA,NA
BBRS,Propensity,Domain_specific,Driving,Ordinal,11,NA,"Man kann sich in verschiedenen Bereichen unterschiedlich verhalten. Wie würden Sie Ihre Risikobereitschaft in Bezug auf die folgenden Bereiche einschätzen? beim Autofahren?

[Official: One can evaluate different areas in a different way. How do you evaluate your attitude towards risk regarding the following areas? How is it while driving a car?]","0  ""gar nicht risikobereit"" 
 10 ""sehr risikobereit""

[Official: 0 ""risk averse/not at all willing to take risks"" ; 10 ""fully prepared to take risks""",SOEPdri,RISK_DRI_ORD11A,"BBRS codebook : https://osf.io/7ren6/
Questionnaire: https://osf.io/j693v/","data from:
main-quest_proc.csv: https://osf.io/6nzw4/
retest_basel-quest_proc.csv: https://osf.io/yn39k/
retest_berlin-quest_proc.csv: https://osf.io/cwq3x/
used SOEP website translation (for scale used also the Dohmen et al., 2011 paper)",N,NA,NA,NA
BBRS,Propensity,Domain_specific,Investment,Ordinal,11,NA,"Wie würden Sie Ihre Risikobereitschaft im Vergleich zu der Bevölkerung in Bezug auf die folgenden Bereiche einschätzen? bei Geldanlagen?

[AB:  How do you evaluate your attitude towards risk in comparison to the population regarding the following areas?  How is it regarding financial investments?]","0  ""gar nicht risikobereit"" 
 10 ""sehr risikobereit""

[Official: 0 ""risk averse/not at all willing to take risks"" ; 10 ""fully prepared to take risks""",SOEPfin_COMP,RISK_FIN_COMP_ORD11A,"BBRS codebook : https://osf.io/7ren6/
Questionnaire: https://osf.io/j693v/","data from:
main-quest_proc.csv: https://osf.io/6nzw4/
retest_basel-quest_proc.csv: https://osf.io/yn39k/
retest_berlin-quest_proc.csv: https://osf.io/cwq3x/
variable not listed in the MAIN codebook
Modified version of SOEP item
",N,NA,NA,NA
BBRS,Propensity,Domain_specific,Investment,Ordinal,11,NA,"Man kann sich in verschiedenen Bereichen unterschiedlich verhalten. Wie würden Sie Ihre Risikobereitschaft in Bezug auf die folgenden Bereiche einschätzen? bei Geldanlagen?

[Official: One can evaluate different areas in a different way. How do you evaluate your attitude towards risk regarding the following areas? How is it regarding financial investments?]","0  ""gar nicht risikobereit"" 
 10 ""sehr risikobereit""

[Official: 0 ""risk averse/not at all willing to take risks"" ; 10 ""fully prepared to take risks""",SOEPfin,RISK_FIN_ORD11A,"BBRS codebook : https://osf.io/7ren6/
Questionnaire: https://osf.io/j693v/","data from:
main-quest_proc.csv: https://osf.io/6nzw4/
retest_basel-quest_proc.csv: https://osf.io/yn39k/
retest_berlin-quest_proc.csv: https://osf.io/cwq3x/
used SOEP website translation (for scale used also the Dohmen et al., 2011 paper)",N,NA,NA,NA
BBRS,Propensity,General,General,Ordinal,11,NA,"Wie schätzen Sie sich persönlich im Vergleich zu der Bevölkerung ein: Sind Sie im allgemeinen ein risikobereiter Mensch oder versuchen Sie, Risiken zu vermeiden?


[AB: How do you see yourself in comparison to the population: Are you generally a person who is fully prepared to take risks or do you try to avoid taking risks?]","0  ""gar nicht risikobereit"" 
 10 ""sehr risikobereit""

[Official: 0 ""risk averse/not at all willing to take risks"" ; 10 ""fully prepared to take risks""",SOEP_COMP,RISK_GEN_COMP_ORD11A,"BBRS codebook : https://osf.io/7ren6/
Questionnaire: https://osf.io/j693v/","data from:
main-quest_proc.csv: https://osf.io/6nzw4/
retest_basel-quest_proc.csv: https://osf.io/yn39k/
retest_berlin-quest_proc.csv: https://osf.io/cwq3x/
variable not listed in the MAIN codebook
Modified version of SOEP item
",N,NA,NA,NA
BBRS,Propensity,General,General,Ordinal,11,NA,"Wie schätzen Sie sich persönlich ein: Sind Sie im allgemeinen ein risikobereiter Mensch oder versuchen Sie, Risiken zu vermeiden?

[Official: How do you see yourself: Are you generally a person who is fully prepared to take risks or do you try to avoid taking risks?]","0  ""gar nicht risikobereit"" 
 10 ""sehr risikobereit""

[Official: 0 ""risk averse/not at all willing to take risks"" ; 10 ""fully prepared to take risks""]",SOEP,RISK_GEN_ORD11A,"BBRS codebook : https://osf.io/7ren6/
Questionnaire: https://osf.io/j693v/","data from:
main-quest_proc.csv: https://osf.io/6nzw4/
retest_basel-quest_proc.csv: https://osf.io/yn39k/
retest_berlin-quest_proc.csv: https://osf.io/cwq3x/
used SOEP website translation (for scale used also the Dohmen et al., 2011 paper)",N,NA,NA,NA
BBRS,Propensity,Domain_specific,Gen.Health,Ordinal,11,NA,"Wie würden Sie Ihre Risikobereitschaft im Vergleich zu der Bevölkerung in Bezug auf die folgenden Bereiche einschätzen?  bei Ihrer Gesundheit?

[AB: How do you evaluate your attitude towards risk in comparison to the population regarding the following areas?  How is it with your health?]","0  ""gar nicht risikobereit"" 
 10 ""sehr risikobereit""

[Official: 0 ""risk averse/not at all willing to take risks"" ; 10 ""fully prepared to take risks""",SOEPhea_COMP,RISK_HEA_COMP_ORD11A,"BBRS codebook : https://osf.io/7ren6/
Questionnaire: https://osf.io/j693v/","data from:
main-quest_proc.csv: https://osf.io/6nzw4/
retest_basel-quest_proc.csv: https://osf.io/yn39k/
retest_berlin-quest_proc.csv: https://osf.io/cwq3x/
variable not listed in the MAIN codebook
Modified version of SOEP item
",N,NA,NA,NA
BBRS,Propensity,Domain_specific,Gen.Health,Ordinal,11,NA,"Man kann sich in verschiedenen Bereichen unterschiedlich verhalten. Wie würden Sie Ihre Risikobereitschaft in Bezug auf die folgenden Bereiche einschätzen? bei Ihrer Gesundheit?

[Official: One can evaluate different areas in a different way. How do you evaluate your attitude towards risk regarding the following areas? How is it with your health?]","0  ""gar nicht risikobereit"" 
 10 ""sehr risikobereit""

[Official: 0 ""risk averse/not at all willing to take risks"" ; 10 ""fully prepared to take risks""",SOEPhea,RISK_HEA_ORD11A,"BBRS codebook : https://osf.io/7ren6/
Questionnaire: https://osf.io/j693v/","data from:
main-quest_proc.csv: https://osf.io/6nzw4/
retest_basel-quest_proc.csv: https://osf.io/yn39k/
retest_berlin-quest_proc.csv: https://osf.io/cwq3x/
used SOEP website translation (for scale used also the Dohmen et al., 2011 paper)",N,NA,NA,NA
BBRS,Propensity,Domain_specific,Occupation,Ordinal,11,NA,"Wie würden Sie Ihre Risikobereitschaft im Vergleich zu der Bevölkerung in Bezug auf die folgenden Bereiche einschätzen? bei Ihrer beruflichen Karriere?

[AB:How do you evaluate your attitude towards risk in comparison to the population regarding the following areas?  How is it regarding your career prospects?]","0  ""gar nicht risikobereit"" 
 10 ""sehr risikobereit""

[Official: 0 ""risk averse/not at all willing to take risks"" ; 10 ""fully prepared to take risks""",SOEPocc_COMP,RISK_OCC_COMP_ORD11A,"BBRS codebook : https://osf.io/7ren6/
Questionnaire: https://osf.io/j693v/","data from:
main-quest_proc.csv: https://osf.io/6nzw4/
retest_basel-quest_proc.csv: https://osf.io/yn39k/
retest_berlin-quest_proc.csv: https://osf.io/cwq3x/
variable not listed in the MAIN codebook
Modified version of SOEP item
",N,NA,NA,NA
BBRS,Propensity,Domain_specific,Occupation,Ordinal,11,NA,"Man kann sich in verschiedenen Bereichen unterschiedlich verhalten. Wie würden Sie Ihre Risikobereitschaft in Bezug auf die folgenden Bereiche einschätzen? bei Ihrer beruflichen Karriere?

[Official: One can evaluate different areas in a different way. How do you evaluate your attitude towards risk regarding the following areas? How is it regarding your career prospects?]","0  ""gar nicht risikobereit"" 
 10 ""sehr risikobereit""

[Official: 0 ""risk averse/not at all willing to take risks"" ; 10 ""fully prepared to take risks""",SOEPocc,RISK_OCC_ORD11A,"BBRS codebook : https://osf.io/7ren6/
Questionnaire: https://osf.io/j693v/","data from:
main-quest_proc.csv: https://osf.io/6nzw4/
retest_basel-quest_proc.csv: https://osf.io/yn39k/
retest_berlin-quest_proc.csv: https://osf.io/cwq3x/
used SOEP website translation (for scale used also the Dohmen et al., 2011 paper)",N,NA,NA,NA
