section,dv,num,Description,Input,Scripts,Output
analysis,retest,3,"***Estimating MASC model parameter values:*** Using the extract_masc_nlpar_info_vardecomp.R and the extract_masc_nlpar_info.R scripts, MASC parameters are predicted for different measures, domain, panels and age grups, which are then used for plotting and for the variance decomposition analysis of intercorrelations.",analysis/code/temp_stability/fit_masc_[pro/fre/beh].R,analysis/code/temp_stability/extract_masc_nlpar_info.R; analysis/code/convergent_val/extract_masc_nlpar_info_vardecomp.R,analysis/output/temp_stability/masc_nlpar_pred.csv; analysis/output/convergent_val/masc_nlpar_pred.csv
analysis,retest,4,"***Multiverse Analysis - Variance Decomposition:*** The var_decomposition_multiverse.R script reads the complete_retest.csv file and conducts variance decomposition for all the test-retest correlations (i.e., omnibus analysis) and separately for each measure category with the different subsets of retest correlations to assess the consistency of the variance explained by each predictor.",processing/output/temp_stability/complete_retest.csv ,analysis/code/temp_stability/var_decomp_retest_multiverse.R,analysis/output/temp_stability/ shapley_values_multiv_[omni/pro/fre/beh].csv
analysis,retest,5,"***Multiverse Analysis - Fitting the MASC model:*** Using the corresponding R script (i.e., fit_masc_[pro/fre/beh]_multiverse.R) for each measure category, the MASC model is estimated using the different subsets of aggregated correlation coefficients from the complete_agg_retest_yb[5/10/20].csv files. A summary of the output is saved to assess the consistency of the results.",processing/output/temp_stability/complete_agg_retest_yb[5/10/20].csv,analysis/code/temp_stability/masc_[pro/fre/beh]_multiverse.R,analysis/output/temp_stability/multiverse_fit_masc_[pro/fre/beh].rds
analysis,bivar,1,"***Variance Decomposition:*** The  var_decomposition.R script reads the complete_intercor.csv to conduct variance decomposition for the inter-correlations, and saves summary output for plotting.",processing/output/convergent_val/complete_intercor.csv,analysis/code/convergent_val/var_decomposition.R,analysis/output/convergent_val/shapley_value_intercor.csv;analysis/output/convergent_val/shapley_values_intercor_boot.csv;analysis/output/convergent_val/summary_shapley_values_intercor[_boot].csv
analysis,bivar,2,"***Meta-Analysis and Meta-Regressions:*** The brms_ma.R script reads the complete_agg_intercor_yb10.csv file, estimates the different Bayesian random effects models (i.e., intercept only and with covariates), and saves the output. Also saving the output for plotting the matrices.",processing/output/convergent_val/complete_agg_intercor_yb10.csv,analysis/code/convergent_val/brms_ma.R ,analysis/output/convergent_val/fit_convergent_ma_[overall/measure/domain].rds; analysis/output/convergent_val/cor_mat_convergent_[measure/domain]_dat.csv
analysis,bivar,3,***Multiverse Analysis - Variance Decomposition:*** The  var_decomposition_multiverse.R script reads the complete_intercor.csv file and conducts variance decomposition for the inter-correlations with the different subsets of inter-correlations to assess the consistency of the variance explained by each predictor.,processing/output/convergent_val/complete_intercor.csv,analysis/code/convergent_val/var_decomposition_multiverse.R,analysis/output/ convergent_val/shapley_values_multiv_overall.csv
analysis,bivar,4,"***Multiverse Analysis Meta-Analysis and Meta-Regressions:*** Using the brms_ma_multiverse.R script, the different Bayesian random effects meta-analytic models (i.e., intercept only and with covariates) are estimated using different subsets of correlation coefficients from the complete_agg_intercor_yb[5/10/20].csv  files and a summary of the output is saved to assess the consistency of the results.",processing/output/convergent_val/complete_agg_intercor_yb[5/10/20].csv ,analysis/code/convergent_val/brms_ma_multiverse.R ,analysis/output/convergent_val/ multiverse_fit_convergent_ma_[overall/measure].rds
figures,retest,1,"The plot_measure_cor_overview.R script reads the complete_retest.csv file and plots the number of measures for different domains, and the distribution of test-retest correlations and inter-correlations.",processing/output/temp_stability/complete_retest.csv; processing/output/convergent_val/complete_intercor.csv ,plotting/code/temp_stability/plot_measure_cor_overview.R,plotting/output/temp_stability/meas_count.png
figures,retest,2,The plot_var_decomposition.R script reads  summary_shapley_values_[meas]_retest[_boot].csv to plot the proportion of variance explained by different predictors.,analysis/output/temp_stability/summary_shapley_values_[meas]_retest[_boot].csv,plotting/code/temp_stability/plot_var_decomposition.R,plotting/output/temp_stability/shapley_decomp_retest_fig.png
figures,retest,3,The plot_masc_pred.R script reads the masc_[pro/fre/beh].rds files and plots model predictions (retest correlations and model parameters).,analysis/output/temp_stability/masc_[pro/fre/beh].rds,plotting/code/temp_stability/plot_masc_pred.R,"plotting/output/temp_stability/masc_pred_fig.png;
plotting/output/temp_stability/masc_nlpar_fig.png"
figures,retest,4,"For the supplementary material, plotting a set of additional plots showing model predictions, available data, as well as how different metrics correlate with each other.","analysis/output/temp_stability/masc_[pro/fre/beh/as].rds;
processing/output/temp_stability/complete_retest.csv","plotting/code/temp_stability/plot_masc_pred_appendix.R;
plotting/code/temp_stability/plot_correl_cor_metric.R;
plotting/code/temp_stability/plot_correl_log_transform.R;
plotting/code/temp_stability/plot_item_count.R;
plotting/code/temp_stability/plot_masc_nlpar_comp.R;
plotting/code/temp_stability/plot_masc_pred_as.R;
plotting/code/temp_stability/plot_retest_meas_overview.R","plotting/output/temp_stability/masc_pred_[pro/fre/beh]_fig[A-C].png; plotting/output/temp_stability/retest_meas_overview_fig.png; plotting/output/temp_stability/masc_param_comp_fig.png;
plotting/output/temp_stability/log_metric_plot.png; plotting/output/temp_stability/correl_metric_plot.png;
plotting/output/temp_stability/masc_pred_as_fig.png"
figures,retest,5,"For the companion website, creating a set of additional plots showing the distribution of correlations, model predictions for different panels, and multiverse analysis results","processing/output/temp_stability/complete_retest.csv;
analysis/output/temp_stability/masc_[pro/fre/beh].rds; processing/output/temp_stability/complete_agg_retest_yb[5/10/20].csv; analysis/output/temp_stability/multiverse_fit_masc_[pro/fre/beh].rds; analysis/output/temp_stability/ shapley_values_multiv_[omni/pro/fre/beh].csv","plotting/code/temp_stability/plot_retest_comp_web.R; plotting/code/temp_stability/plot_table_panel_appendix.R;plotting/code/temp_stability/plot_masc_pred_appendix_panel.R;
plotting/code/temp_stability/plot_cor_threshold.R; plotting/code/temp_stability/plot_multiverse_masc.R; plotting/code/temp_stability/plot_multiverse_var_decomp.R",see docs/images folder
figures,bivar,1,The plot_var_decomposition.R script  reads summary_shapley_values_intercor[_boot].csv  to plot the proportion of variance explained by different predictors.,analysis/output/convergent_val/summary_shapley_values_intercor[_boot].csv,plotting/code/convergent_val/plot_var_decomposition.R,plotting/output/convergent_val/shapley_decomp_convergent.png
figures,bivar,2,The plot_cor_matrix.R script reads the cor_mat_convergent_[measure/domain]_dat.csv files and creates two correlation matrices displaying the pooled estimates.,analysis/output/convergent_val/cor_mat_convergent_[measure/domain]_dat.csv,plotting/code/convergent_val/plot_cor_matrix.R,plotting/output/convergent_val/cor_matrix_fig.png
figures,bivar,3,"For the supplementary material, plotting a set of additional plots showing the available data as well as how different metrics correlate with each other",processing/output/convergent_val/complete_intercor.csv ,"plotting/code/convergent_val/plot_correl_cor_metric.R; plotting/code/convergent_val/plot_correl_log_transform.R;
plotting/code/convergent_val/plot_convergent_distrib.R","plotting/output/convergent_val/correl_metric_intercor_plot.png; 
plotting/output/convergent_val/log_metric_intercor_plot.png; 
plotting/output/convergent_val/convergent_distribution_appendix"
figures,bivar,4,"For the companion website, creating a set of additional plots showing the distribution of correlations, and multiverse analysis results",processing/output/convergent_val/complete_intercor.csv; analysis/output/convergent_val/multiverse_fit_convergent_ma_[measure/overall].rds; analysis/output/ convergent_val/shapley_values_multiv_overall.csv,plotting/code/convergent_val/plot_intercor_comp_web.R; plotting/code/convergent_val/plot_multiverse_convergent_ma.R; plotting/code/convergent_val/plot_multiverse_var_decomp.R,see docs/images folder
