panel,sample,continent,country,sample_type,collect_mode,measure_categ,domain_name,unique_meas,unique_waves,retest_int_min,retest_int_median,retest_int_mean,retest_int_max,cor_num,unique_id,unique_resp
SHARE,SHARE_Estonia,Europe,Estonia,Older Adults,Int.,"F, P","Alc., Inv., Smo.",6,4,2.21,3.31, 3.89, 8.91,    80,"  6,214","   56,664"
SHARE,SHARE_Denmark,Europe,Denmark,Older Adults,Int.,"F, P","Alc., Inv., Smo.",8,7,1.81,4.05, 4.50,15.46,   183,"  4,249","   39,019"
SHARE,SHARE_Czech_Rep,Europe,Czech_Rep,Older Adults,Int.,"F, P","Alc., Inv., Smo.",6,6,1.83,4.02, 4.34,12.89,   159,"  5,673","   50,688"
SHARE,SHARE_Belgium,Europe,Belgium,Older Adults,Int.,"F, P","Alc., Inv., Smo.",7,7,1.72,4.26, 4.62,14.77,   191,"  6,544","   58,697"
SHARE,SHARE_Austria,Europe,Austria,Older Adults,Int.,"F, P","Alc., Inv., Smo.",7,7,1.70,4.11, 4.36,15.45,   148,"  4,863","   43,910"
SAVE,SAVE,Europe,Germany,Lifespan,Self-adm.,"F, P","Alc., Dri., Gam., Hea_gen., Inv., Occ., Rec.",9,10,1.00,3.00, 3.23,10.01," 1,895","  3,758","  105,997"
BUNDESBANK,PHF,Europe,Germany,Lifespan,Int.,P,"Inv., Gen.",2,3,2.92,3.27, 4.02, 6.36,    56,"  3,566","    9,965"
NSHAP,NSHAP,N.America,U.S.A.,Older Adults,Int.,"F, P","Alc., Gen., Smo.",5,3,5.01,5.15, 6.52,10.22,    86,"  2,943","   32,432"
NLSY,NLSY79_CYA,N.America,U.S.A.,Adolescents,Int.,"F, P, B","Alc., Dru., Eth., Gen., Occ., Sex., Smo.",31,17,2.00,6.00, 7.04,18.01," 4,222","  8,613","  978,340"
MIDUS,MIDUS_Project1,N.America,U.S.A.,Adults,Int.,"F, P","Alc., Dru., Gen., Eth.",9,3,8.80,9.11,11.30,18.23,   181,"  4,357","   71,123"
MIDUS,MIDJA,Asia,Japan,Adults,Int.,"P, F","Gen., Alc.",6,2,4.00,4.00, 4.00, 4.00,    58,    655,"    7,460"
MEPS,MEPS,N.America,U.S.A.,Lifespan,Int.,P,Gen.,1,34,0.88,0.93, 0.95, 1.24,   272,"157,599","  315,198"
LSVAW,LSVAW_W,N.America,U.S.A.,Adolescents,Int.,"F, P","Alc., Dru., Eth., Gen., Sex.",23,5,1.00,1.01, 1.65, 4.00,   166,"  1,394","   66,209"
LSVAW,LSVAW_M,N.America,U.S.A.,Adolescents,Int.,"F, P","Alc., Dru., Eth., Gen., Sex.",26,5,1.00,2.00, 1.87, 4.00,   306,    650,"   39,289"
LIKS,LIKS,Asia,Kyrgyzstan,Lifespan,Int.,"F, P","Alc., Gen., Smo.",8,6,1.00,2.53, 3.36, 9.01,   758," 10,082","  220,985"
HRS,HRS_Core,N.America,U.S.A.,Older Adults,Int.,"F, P, B","Alc., Dri., Gen., Hea_gen., Inv., Occ., Rec., Smo.",15,15,1.69,6.13, 7.58,19.92," 2,376"," 34,027","1,000,359"
HILDA,HILDA,Oceania,Australia,Lifespan,Int.,"P, F","Inv., Gen., Smo.",4,21,0.95,5.95, 6.61,19.93," 5,976"," 25,154","  494,845"
GLES,GLES_ST,Europe,Germany,Lifespan,Onl.,P,Gen.,1,2,1.03,1.03, 1.03, 1.04,    12,"  2,045","    4,090"
GLES,GLES_LT,Europe,Germany,Lifespan,Int.,P,Gen.,1,6,0.31,2.76, 2.32, 4.39,   130," 17,320","   50,320"
GIP,GIP,Europe,Germany,Lifespan,Onl.,P,Gen.,1,3,0.83,7.01, 4.95, 7.84,    32,"  2,129","    4,780"
GCOE,GCOE_USA,N.America,U.S.A.,Lifespan,Self-adm.,"P, B","Gen., Occ., Gam., Ins.",15,9,1.00,1.00, 1.69, 5.09,   684,"  7,523","   85,396"
GCOE,GCOE_JP,Asia,Japan,Lifespan,Self-adm.,"P, B","Gen., Occ., Gam., Ins.",15,12,1.00,2.00, 2.18, 6.01,   949,"  8,040","  160,669"
GCOE,GCOE_IN,Asia,India,Lifespan,Int.,"P, B","Gen., Gam., Occ.",5,5,0.95,1.00, 1.09, 1.98,    49,"  1,280","    5,956"
GCOE,GCOE_CN,Asia,China,Lifespan,Int.,P,Gen.,1,2,0.94,0.94, 0.94, 0.94,    10,    958,"    1,916"
ENKAVI,ENKAVI,N.America,U.S.A.,Adults,Onl.,"F, P, B","Alc., Dri., Dru., Eth., Gam., Hea_gen., Rec., Smo., Soc.",19,2,0.30,0.31, 0.31, 0.33,    32,     68,"    2,172"
DRICHOUTIS,DRICHOUTIS,Europe,Greece,Adults,Self-adm.,"P, B","Gen., Inv.",2,3,1.00,1.00, 1.20, 2.00,    10,    113,      592
DHS,DHS,Europe,Netherlands,Lifespan,Int.,"B, P","Gam., Gen., Inv.",7,30,1.00,6.00, 6.73,19.01,"14,161"," 10,581","  289,416"
COGECON,COGECON,N.America,U.S.A.,Older Adults,Int.,"P, B","Inv., Gen.",3,4,1.05,1.98, 2.49, 5.56,    54,    871,"    5,955"
CMC,CMC,Europe,Germany,Adolescents,Int.,"F, P","Eth., Dru., Occ.",25,4,0.93,0.98, 1.53, 2.87,   223,"  2,017","  124,491"
BES,BES14,Europe,U.K.,Lifespan,Onl.,"P, B","Gen., Gam.",2,4,0.09,2.20, 2.14, 4.04,    64," 32,982","  101,035"
BES,BES05,Europe,U.K.,Lifespan,Onl.,P,Gen.,1,2,5.03,5.04, 5.04, 5.04,    12,"  3,291","    6,582"
BBRS,BBRS_DE,Europe,Germany,Adults,Lab.,"F, B, P","Alc., Eth., Sex., Occ., Gam., Dru., Dri., Gen., Inv., Hea_gen., Rec., Soc.",35,2,0.50,0.50, 0.50, 0.50,    70,     99,"    6,912"
BBRS,BBRS_CH,Europe,Switzerland,Adults,Lab.,"F, P, B","Alc., Dri., Dru., Eth., Gam., Gen., Hea_gen., Inv., Occ., Rec., Sex., Soc.",35,2,0.25,0.25, 0.25, 0.25,    35,     34,"    2,372"
ANPS,ANPS_Spain,Europe,Spain,Adults,Onl.,"P, B","Gen., Inv.",2,2,1.41,1.49, 1.46, 1.51,     5,    177,      584
ANPS,ANPS_Czech_Republic,Europe,Czech Republic,Adults,Onl.,"P, B","Gen., Inv.",2,2,1.62,1.62, 1.62, 1.63,     4,    230,      840
ALP,ALP,N.America,U.S.A.,Lifespan,Onl.,"P, B","Gen., Inv., Gam., Occ.",11,18,0.07,2.36, 2.30, 6.75,   215,"  3,180","   26,862"
ADDHEALTH,ADDHEALTH,N.America,U.S.A.,Adolescents,Int.,"F, P","Alc., Dri., Dru., Eth., Gen., Sex., Smo.",49,5,0.91,6.49, 6.98,15.78,   379,"  6,138","  698,967"
