author,sample,n,prop_female,age,items,time_diff,retest,construct
Stewart (1964),1,89,0.47,18,23,4,0.48,pers
Stricker & Ross (1964),1,41,0.47,18,23,1.17,0.65,pers
Tellegen (1982 (as cited in Johnson et al. 2005),1,75,0.47,20,24,0.08,0.87,pers
Terracciano et al. (2006),1,151,0.47,40,48,10.1,0.8,pers
,2,259,0.47,57.5,48,10.3,0.83,pers
,3,266,0.47,77,48,9.6,0.81,pers
Vaidya et al. (2002),1,392,0.76,18.6,9,2.5,0.64,pers
,2,260,0.78,20,9,0.17,0.82,pers
Van Aken et al. (2006),1,285,0,43.9,6,3,0.76,pers
,2,285,1,41.7,6,3,0.78,pers
Viken et al. (1994),1,1602,0,20.5,10,6,0.53,pers
,2,1160,0,26.5,10,6,0.62,pers
,3,810,0,32.5,10,6,0.66,pers
,4,576,0,38.5,10,6,0.68,pers
,5,432,0,44.5,10,6,0.66,pers
,6,342,0,50.5,10,6,0.68,pers
,7,3144,1,20.5,10,6,0.6,pers
,8,2360,1,26.5,10,6,0.63,pers
,9,1596,1,32.5,10,6,0.66,pers
,10,1236,1,38.5,10,6,0.68,pers
,11,996,1,44.5,10,6,0.68,pers
,12,678,1,50.5,10,6,0.68,pers
Vittersø (2001),1,224,0.47,19,12,0.75,0.72,pers
Watson & Humrichouse (2006),1,233,1,27.3,9,2,0.79,pers
,2,227,0,29.1,9,2,0.75,pers
Wheeler & Schwarz (1989),1,225,0.52,18.5,8,3,0.58,pers
Whitbourne et al. (1992),1,123,0.37,26.29,10,11,0.52,pers
,2,83,0.43,20,10,11,0.49,pers
Wilhelm & Parker (1990),1,163,0.47,26.23,20,5,0.62,pers
,1,163,0.47,23.1,20,10,0.5,pers
Wood & Roberts (2006,1,62,0.68,20,18,0.5,0.72,pers
Woodall & Matthews (1993),1,35,0.59,12.9,36,3.92,0.6,pers
,2,50,0.59,15.1,36,3.92,0.55,pers
Yonge & Regan (1975),1,423,0,18,38,4,0.6,pers
,2,410,0,18,38,4,0.56,pers
Adams (1988 as cited in Veenhoven 1994),1,42,1,76,10,3,0.38,affe
Baird et al. (2006),1,144,0.77,20,12,0.63,0.76,affe
Brief et al. (1993),1,380,0.49,61.35,5,2,0.49,affe
,1,375,0.5,60.5,5,4,0.42,affe
Bromberger & Matthews (1996),1,460,1,46,21,3,0.45,affe
Busseri et al. (2007),1,615,0.75,18.65,10,0.25,0.66,affe
,2,188,0.7,22.88,10,0.67,0.74,affe
,2,188,0.7,22.55,10,1.33,0.7,affe
Carter (2004),1,93,0.49,20,10,0.04,0.43,affe
,1,93,0.49,20,10,0.08,0.43,affe
,1,93,0.49,20,10,0.12,0.33,affe
Chamberlain & Zika (1992),1,179,1,29,20,0.25,0.62,affe
,1,179,1,29,20,0.5,0.61,affe
Charman (1994),1,206,0.44,13.46,22,0.25,0.73,affe
,1,202,0.44,13.33,22,0.5,0.64,affe
Chiriboga (1989 as cited in Veenhoven 1994),1,21,0.55,52,5,2,0.53,affe
,1,21,0.55,52,5,5,0.55,affe
,1,21,0.55,52,5,7,0.44,affe
,1,21,0.55,52,5,11,0.48,affe
,2,51,0.55,52,5,2,0.3,affe
,2,51,0.55,52,5,5,0.52,affe
,2,51,0.55,52,5,7,0.55,affe
,2,51,0.55,52,5,11,0.36,affe
,3,21,0.55,52,5,2,0.36,affe
,3,21,0.55,52,5,5,0.34,affe
,3,21,0.55,52,5,7,0.5,affe
,3,21,0.55,52,5,11,0.01,affe
,4,51,0.55,52,5,2,0.39,affe
,4,51,0.55,52,5,5,0.37,affe
,4,51,0.55,52,5,7,0.48,affe
,4,51,0.55,52,5,11,0.29,affe
Costa et al. (1987),1,2471,0.56,50.25,4,9.5,0.43,affe
Daleiden et al. (2000),1,33,0.57,8.5,9,0.02,0.58,affe
,2,86,0.57,14.5,9,0.02,0.72,affe
Headey & Wearing (1989),1,649,0.54,41.5,5,2,0.4,affe
,1,649,0.54,41.5,5,4,0.34,affe
,1,649,0.54,41.5,5,6,0.38,affe
Holsen et al. (2000),1,354,0.51,18,7,1,0.7,affe
,1,354,0.51,13,7,2,0.42,affe
,1,354,0.51,15,7,3,0.48,affe
,1,354,0.51,15,7,4,0.46,affe
,1,354,0.51,13,7,5,0.33,affe
,1,354,0.51,13,7,6,0.3,affe
Kunzmann et al. (2000),1,203,0.49,79.67,10,3.8,0.8,affe
Lang & Heckhausen (2001),1,42,0.55,81.8,10,0.48,0.55,affe
Larson et al. (2002),1,210,0.56,12,3,0.01,0.61,affe
,1,210,0.56,12,3,4,0.35,affe
Lepper (1998),1,528,0.2,79,5,0.75,0.55,affe
Lovibond (1998),1,882,0.66,21.6,14,3,0.42,affe
,1,882,0.66,21.6,14,4,0.4,affe
,1,882,0.66,21.6,14,5,0.36,affe
,1,882,0.66,21.6,14,6,0.32,affe
,1,882,0.66,21.6,14,7,0.36,affe
,1,882,0.66,21.6,14,8,0.4,affe
Lucas et al. (1996),1,212,0.62,18,10,0.08,0.66,affe
,2,109,0.63,20.5,10,2,0.58,affe
,3,172,0.55,18,10,0.01,0.63,affe
McCrae & Costa (1991),1,349,0.4,55.5,10,2,0.51,affe
Mortimer & Lorence (1981),1,442,0,18,3,4,0.63,affe
,1,442,0,18,3,10,0.58,affe
Nelson (1990),1,85,1,37.6,10,0.5,0.6,affe
,1,85,1,38.1,10,1,0.56,affe
,1,85,1,37.6,10,1.5,0.36,affe
Nolen-Hoeksema et al. (1986),1,153,0.48,9.5,27,0.17,0.71,affe
,1,158,0.48,9.5,27,0.42,0.66,affe
,1,150,0.48,9.5,27,0.75,0.46,affe
,1,139,0.48,9.5,27,1,0.51,affe
Ormel & Schaufeli (1991),1,258,0.48,39,10,1,0.62,affe
,1,258,0.48,40,10,7,0.57,affe
,1,258,0.48,39,10,8,0.52,affe
,2,389,0.37,24,8,0.5,0.62,affe
,2,389,0.37,24,8,1,0.57,affe
,2,389,0.37,24,8,1.5,0.54,affe
,2,389,0.37,24,8,2,0.47,affe
Ostir et al. (2005),1,31,0.81,74,10,0.03,0.86,affe
Stacey & Gatz (1991),1,1159,0.58,50.5,10,14,0.32,affe
Thompson (2007),1,143,0.53,27,5,0.15,0.84,affe
Vaidya et al. (2002),1,392,0.76,18.6,10,2.5,0.5,affe
,2,260,0.78,20,10,0.17,0.72,affe
Veenhoven (1994),1,55,0.55,80,10,0.9,0.27,affe
,2,296,0.55,37.5,10,1,0.52,affe
,3,337,0.55,40,10,1,0.48,affe
,4,205,0.55,33.21,10,1.5,0.32,affe
Vitterso (2001),1,224,0.55,19,3,0.75,0.54,affe
Waltz (1986),1,529,0,55,5,0.5,0.52,affe
,1,529,0,55,5,1,0.44,affe
Watson & Humrichouse (2006),1,233,1,27.3,10,2,0.69,affe
,2,227,0,29.1,10,2,0.68,affe
Watson & Walker (1996),1,99,0.55,33.21,10,7.08,0.41,affe
,2,112,0.55,33.21,10,7.58,0.38,affe
,3,125,0.55,33.21,10,4.67,0.51,affe
Watson et al. (1988),1,101,0.55,20,10,0.15,0.53,affe
Watson (2004),1,465,0.55,20,10,0.16,0.72,affe
,2,392,0.55,20,10,2.71,0.5,affe
Weinstein et al. (2007),1,250,0.54,13.94,4,0.5,0.7,affe
,1,239,0.55,13.94,4,1,0.62,affe
,2,227,0.54,16.01,5,0.5,0.76,affe
,2,227,0.55,16.01,5,1,0.69,affe
Wilhelm & Parker (1990),1,164,0.55,25.6,10,5,0.24,affe
,1,163,0.55,23.1,10,10,0.17,affe
Wright & Staw (1999),1,41,0.28,47.3,10,1,0.61,affe
,1,44,0.28,45.3,8,2,0.74,affe
,2,63,0.55,39.7,8,1,0.77,affe
Yamasaki et al. (2006),1,235,0.5,18.84,8,0.11,0.63,affe
Yardley & Rice (1991),1,65,0.55,18,9,0.19,0.48,affe
Yasuda et al. (2003),1,299,0.43,19.9,33,0.08,0.72,affe
Adams (1997),1,607,0.69,42,1,1,0.44,life
,1,607,0.69,43,1,3,0.4,life
,1,607,0.69,42,1,4,0.4,life
,1,607,0.69,34,1,8,0.35,life
,1,607,0.69,34,1,9,0.29,life
,1,607,0.69,34,1,12,0.31,life
Alfonso et al. (1996),1,109,0.51,20,5,0.04,0.83,life
Americans' Changing Lives (ACL),1,142,1,28.4,1,3,0.38,life
,1,126,1,28.4,1,8,0.31,life
,2,743,1,44.15,1,3,0.37,life
,2,662,1,44.15,1,8,0.38,life
,3,726,1,71.5,1,3,0.32,life
,3,456,1,71.5,1,8,0.22,life
,4,108,0,28.45,1,3,0.4,life
,4,100,0,28.45,1,8,0.24,life
,5,488,0,43.45,1,3,0.45,life
,5,436,0,43.45,1,8,0.4,life
,6,318,0,70.4,1,3,0.42,life
,6,181,0,70.4,1,8,0.36,life
Atkinson (1982),1,2162,0.59,42,3,2,0.53,life
Bachman et al. (1970) (as cited in Veenhoven 1994),1,2213,0,12,6,1,0.61,life
,1,2213,0,12,6,1.5,0.54,life
,1,2213,0,12,6,2.5,0.45,life
,1,2213,0,12,6,3.5,0.43,life
Bachman & O’Malley (1980 as cited in Veenhoven 1994),1,1600,0,15.5,1,2,0.54,life
,1,1600,0,15.5,1,3,0.45,life
,1,1600,0,15.5,1,4,0.43,life
Baird et al. (2006),1,144,0.77,20,5,0.63,0.73,life
Baur & Okun (1983),1,91,0.8,79.33,17,3,0.61,life
Blais et al. (1989),1,44,0.51,21.34,5,0.17,0.64,life
Bowling & Farquhar (1996),1,245,0.84,91.9,20,2.75,0.65,life
,2,328,0.6,76.9,20,2.75,0.46,life
,3,192,0.7,75.7,20,2.75,0.68,life
Bradburn & Caplovitz (1965 as cited in Veenhoven 1994),1,547,0.51,40.83,1,0.6,0.48,life
Brief et al. (1993),1,380,0.49,61.35,1,2,0.54,life
,1,375,0.5,60.5,1,4,0.46,life
British Household Panel Study (BHPS),1,610,1,18.38,1,1,0.44,life
,1,508,1,18.17,1,2,0.4,life
,1,433,1,17.98,1,3,0.42,life
,1,298,1,17.43,1,4,0.36,life
,1,230,1,17.16,1,5,0.36,life
,1,172,1,16.85,1,6,0.28,life
,1,113,1,16.47,1,7,0.25,life
,1,105,1,16.47,1,8,0.3,life
,1,66,1,16.25,1,9,0.21,life
,1,28,1,16,1,10,0.45,life
,2,1626,1,28.1,1,1,0.52,life
,2,1506,1,27.61,1,2,0.47,life
,2,1448,1,27.12,1,3,0.45,life
,2,1333,1,26.66,1,4,0.41,life
,2,1256,1,26.13,1,5,0.39,life
,2,1110,1,25.02,1,6,0.38,life
,2,1008,1,24.34,1,7,0.35,life
,2,983,1,24.34,1,8,0.36,life
,2,906,1,23.88,1,9,0.35,life
,2,799,1,23.43,1,10,0.37,life
,2,768,1,23,1,11,0.32,life
,2,732,1,22.7,1,12,0.41,life
,3,3246,1,48.7,1,1,0.6,life
,3,3074,1,48.21,1,2,0.57,life
,3,3022,1,47.73,1,3,0.54,life
,3,2828,1,47.26,1,4,0.52,life
,3,2690,1,46.77,1,5,0.5,life
,3,2459,1,45.6,1,6,0.48,life
,3,2277,1,44.92,1,7,0.47,life
,3,2229,1,44.92,1,8,0.45,life
,3,2083,1,44.42,1,9,0.46,life
,3,1848,1,43.93,1,10,0.43,life
,3,1818,1,43.45,1,11,0.44,life
,3,1794,1,43,1,12,0.4,life
,4,1124,1,75.28,1,1,0.56,life
,4,1035,1,74.96,1,2,0.54,life
,4,1002,1,74.62,1,3,0.5,life
,4,917,1,74.36,1,4,0.5,life
,4,848,1,74.15,1,5,0.48,life
,4,777,1,73.5,1,6,0.44,life
,4,716,1,73.18,1,7,0.42,life
,4,661,1,73.18,1,8,0.43,life
,4,590,1,72.95,1,9,0.43,life
,4,505,1,72.7,1,10,0.39,life
,4,487,1,72.35,1,11,0.38,life
,4,461,1,71.9,1,12,0.41,life
,5,525,0,18.43,1,1,0.44,life
,5,437,0,18.24,1,2,0.42,life
,5,376,0,18.05,1,3,0.38,life
,5,263,0,17.48,1,4,0.35,life
,5,212,0,17.18,1,5,0.35,life
,5,165,0,16.88,1,6,0.29,life
,5,111,0,16.5,1,7,0.3,life
,5,102,0,16.5,1,8,0.14,life
,5,68,0,16.25,1,9,0.2,life
,5,34,0,16,1,10,0.41,life
,6,1350,0,28.04,1,1,0.51,life
,6,1233,0,27.54,1,2,0.46,life
,6,1173,0,27.09,1,3,0.44,life
,6,1069,0,26.61,1,4,0.4,life
,6,1001,0,26.12,1,5,0.38,life
,6,894,0,24.98,1,6,0.36,life
,6,813,0,24.32,1,7,0.33,life
,6,790,0,24.32,1,8,0.33,life
,6,728,0,23.85,1,9,0.34,life
,6,644,0,23.37,1,10,0.32,life
,6,618,0,22.95,1,11,0.3,life
,6,582,0,22.6,1,12,0.25,life
,7,2716,0,48.76,1,1,0.62,life
,7,2561,0,48.28,1,2,0.58,life
,7,2511,0,47.83,1,3,0.55,life
,7,2346,0,47.36,1,4,0.53,life
,7,2223,0,46.9,1,5,0.51,life
,7,2029,0,45.72,1,6,0.5,life
,7,1873,0,45.04,1,7,0.47,life
,7,1822,0,45.04,1,8,0.46,life
,7,1688,0,44.52,1,9,0.43,life
,7,1490,0,44,1,10,0.44,life
,7,1454,0,43.5,1,11,0.43,life
,7,1418,0,43,1,12,0.41,life
,8,845,0,74.37,1,1,0.56,life
,8,776,0,74.01,1,2,0.55,life
,8,750,0,73.65,1,3,0.52,life
,8,684,0,73.31,1,4,0.5,life
,8,628,0,73.03,1,5,0.49,life
,8,573,0,72.28,1,6,0.48,life
,8,524,0,71.88,1,7,0.47,life
,8,483,0,71.88,1,8,0.46,life
,8,436,0,71.6,1,9,0.44,life
,8,382,0,71.33,1,10,0.42,life
,8,366,0,71,1,11,0.38,life
,8,350,0,70.6,1,12,0.38,life
Busseri et al. (2007),1,615,0.75,18.65,1,0.25,0.45,life
,2,188,0.7,22.88,1,0.67,0.48,life
,2,188,0.7,22.55,1,1.33,0.47,life
Campbell et al. (1976),1,,0.58,44.5,1,0.67,0.4,life
Chamberlain & Zika (1992),1,179,1,29,2,0.25,0.64,life
,1,179,1,29,2,0.5,0.56,life
,2,129,0.57,69,2,0.25,0.72,life
,2,129,0.57,69,2,0.5,0.66,life
Chiriboga (1982),1,70,0.5,40.83,1,11,0.1,life
Costa et al. (1981),1,406,0,57,3,6.3,0.52,life
,1,140,0,57,3,12.8,0.48,life
Cramer (1995),1,299,0.18,25.23,6,1.04,0.72,life
Crnic (1984 as cited in Veenhoven 1994),1,105,1,40.83,1,0.6,0.61,life
,1,105,1,40.83,1,1.5,0.51,life
Diener et al. (1985),1,76,0.51,18,5,0.17,0.82,life
Dobson (1985 as cited in Veenhoven 1994),1,1319,0,57,1,10,0.39,life
Eells (1985),1,1188,0.66,44,1,2,0.4,life
,1,1188,0.66,44,1,4,0.34,life
German Socioeconomic Panel (GSOEP),1,1510,1,22.52,1,1,0.44,life
,1,1348,1,22.25,1,2,0.39,life
,1,1197,1,21.98,1,3,0.36,life
,1,1059,1,21.71,1,4,0.33,life
,1,935,1,21.46,1,5,0.3,life
,1,820,1,21.22,1,6,0.29,life
,1,715,1,20.98,1,7,0.28,life
,1,617,1,20.74,1,8,0.27,life
,1,529,1,20.49,1,9,0.26,life
,1,448,1,20.25,1,10,0.25,life
,1,395,1,19.98,1,11,0.24,life
,1,347,1,19.71,1,12,0.26,life
,1,305,1,19.44,1,13,0.22,life
,1,263,1,19.17,1,14,0.22,life
,1,227,1,18.9,1,15,0.21,life
,2,2362,1,33.94,1,1,0.51,life
,2,2217,1,33.44,1,2,0.46,life
,2,2073,1,32.93,1,3,0.43,life
,2,1937,1,32.43,1,4,0.41,life
,2,1816,1,31.93,1,5,0.39,life
,2,1694,1,31.43,1,6,0.37,life
,2,1572,1,30.92,1,7,0.36,life
,2,1450,1,30.41,1,8,0.35,life
,2,1340,1,29.91,1,9,0.34,life
,2,1226,1,29.41,1,10,0.33,life
,2,1160,1,28.93,1,11,0.32,life
,2,1092,1,28.44,1,12,0.31,life
,2,1033,1,27.96,1,13,0.29,life
,2,973,1,27.47,1,14,0.3,life
,2,909,1,26.99,1,15,0.27,life
,3,3294,1,54.82,1,1,0.55,life
,3,3113,1,54.35,1,2,0.5,life
,3,2936,1,53.88,1,3,0.47,life
,3,2760,1,53.4,1,4,0.44,life
,3,2602,1,52.92,1,5,0.42,life
,3,2445,1,52.45,1,6,0.41,life
,3,2288,1,51.97,1,7,0.4,life
,3,2127,1,51.49,1,8,0.38,life
,3,1980,1,50.99,1,9,0.37,life
,3,1830,1,50.49,1,10,0.35,life
,3,1747,1,50.01,1,11,0.34,life
,3,1666,1,49.51,1,12,0.33,life
,3,1596,1,49.04,1,13,0.33,life
,3,1525,1,48.57,1,14,0.31,life
,3,1454,1,48.1,1,15,0.3,life
,4,571,1,78.46,1,1,0.53,life
,4,524,1,78.09,1,2,0.48,life
