x,measure_category,m,x_lbl,categ_lbl,age_bin,min_n,corr_metric,data_transform,n_obs
gender_group,beh,-5.322571209700149e-4,Gender,Respondent,20,30,pearson,log,1151
item_num,beh,0.002424641066646143,Num. of Items,Measure,20,30,pearson,log,1151
panel,beh,0.1317405690770697,Panel,Panel,20,30,pearson,log,1151
sample_size,beh,0.008262083190353738,n,Respondent,20,30,pearson,log,1151
scale_type,beh,5.050304412986383e-4,Scale Type,Measure,20,30,pearson,log,1151
time_diff_mean,beh,0.018000946400243932,Retest Interval,Measure,20,30,pearson,log,1151
age_group,beh,0.008274050492870071,Age,Respondent,20,30,icc2_1,log,1151
domain_name,beh,0.058758586315320216,Domain,Measure,20,30,icc2_1,log,1151
gender_group,beh,-5.419305412936593e-4,Gender,Respondent,20,30,icc2_1,log,1151
item_num,beh,0.0012374942231689375,Num. of Items,Measure,20,30,icc2_1,log,1151
panel,beh,0.13261455949496898,Panel,Panel,20,30,icc2_1,log,1151
sample_size,beh,0.007991696492897752,n,Respondent,20,30,icc2_1,log,1151
scale_type,beh,2.4985805475423066e-4,Scale Type,Measure,20,30,icc2_1,log,1151
time_diff_mean,beh,0.01950914152542829,Retest Interval,Measure,20,30,icc2_1,log,1151
age_group,beh,0.029439691536412356,Age,Respondent,10,100,spearman,none,886
domain_name,beh,0.1052944166117068,Domain,Measure,10,100,spearman,none,886
gender_group,beh,-3.127919169773169e-4,Gender,Respondent,10,100,spearman,none,886
item_num,beh,0.006785201106299965,Num. of Items,Measure,10,100,spearman,none,886
panel,beh,0.25224173278544376,Panel,Panel,10,100,spearman,none,886
sample_size,beh,0.03423301925370648,n,Respondent,10,100,spearman,none,886
scale_type,beh,0.004530036623837328,Scale Type,Measure,10,100,spearman,none,886
time_diff_mean,beh,0.08378587711783742,Retest Interval,Measure,10,100,spearman,none,886
age_group,beh,0.03126669777104659,Age,Respondent,10,100,pearson,none,886
domain_name,beh,0.10518730562209365,Domain,Measure,10,100,pearson,none,886
gender_group,beh,9.441329294683563e-5,Gender,Respondent,10,100,pearson,none,886
item_num,beh,0.006717053866197079,Num. of Items,Measure,10,100,pearson,none,886
panel,beh,0.2243064472970246,Panel,Panel,10,100,pearson,none,886
sample_size,beh,0.030289319008646613,n,Respondent,10,100,pearson,none,886
scale_type,beh,0.00505925129890437,Scale Type,Measure,10,100,pearson,none,886
time_diff_mean,beh,0.07886486680705475,Retest Interval,Measure,10,100,pearson,none,886
age_group,beh,0.03169185722339007,Age,Respondent,10,100,icc2_1,none,886
domain_name,beh,0.10886879968162115,Domain,Measure,10,100,icc2_1,none,886
gender_group,beh,0.0015303266681073724,Gender,Respondent,10,100,icc2_1,none,886
item_num,beh,0.006837845060508168,Num. of Items,Measure,10,100,icc2_1,none,886
panel,beh,0.21927289784219284,Panel,Panel,10,100,icc2_1,none,886
sample_size,beh,0.030860493112384108,n,Respondent,10,100,icc2_1,none,886
scale_type,beh,0.005443924673062362,Scale Type,Measure,10,100,icc2_1,none,886
time_diff_mean,beh,0.08004886239828923,Retest Interval,Measure,10,100,icc2_1,none,886
age_group,beh,0.029439691536412356,Age,Respondent,10,100,spearman,log,886
domain_name,beh,0.1052944166117068,Domain,Measure,10,100,spearman,log,886
gender_group,beh,-3.127919169773169e-4,Gender,Respondent,10,100,spearman,log,886
item_num,beh,0.006785201106299965,Num. of Items,Measure,10,100,spearman,log,886
panel,beh,0.25224173278544376,Panel,Panel,10,100,spearman,log,886
sample_size,beh,0.03423301925370648,n,Respondent,10,100,spearman,log,886
scale_type,beh,0.004530036623837328,Scale Type,Measure,10,100,spearman,log,886
time_diff_mean,beh,0.08378587711783742,Retest Interval,Measure,10,100,spearman,log,886
age_group,beh,0.030689291953448102,Age,Respondent,10,100,pearson,log,886
domain_name,beh,0.10542960001862159,Domain,Measure,10,100,pearson,log,886
gender_group,beh,6.009034050332521e-5,Gender,Respondent,10,100,pearson,log,886
item_num,beh,0.006917527821109565,Num. of Items,Measure,10,100,pearson,log,886
panel,beh,0.22555869003138385,Panel,Panel,10,100,pearson,log,886
sample_size,beh,0.030096473499894028,n,Respondent,10,100,pearson,log,886
scale_type,beh,0.005198143787808362,Scale Type,Measure,10,100,pearson,log,886
time_diff_mean,beh,0.07591926039332784,Retest Interval,Measure,10,100,pearson,log,886
age_group,beh,0.03126669777104659,Age,Respondent,10,100,icc2_1,log,886
domain_name,beh,0.10518730562209365,Domain,Measure,10,100,icc2_1,log,886
gender_group,beh,9.441329294683563e-5,Gender,Respondent,10,100,icc2_1,log,886
item_num,beh,0.006717053866197079,Num. of Items,Measure,10,100,icc2_1,log,886
panel,beh,0.2243064472970246,Panel,Panel,10,100,icc2_1,log,886
sample_size,beh,0.030289319008646613,n,Respondent,10,100,icc2_1,log,886
scale_type,beh,0.00505925129890437,Scale Type,Measure,10,100,icc2_1,log,886
time_diff_mean,beh,0.07886486680705475,Retest Interval,Measure,10,100,icc2_1,log,886
age_group,beh,0.007423800025003933,Age,Respondent,10,30,spearman,none,1674
domain_name,beh,0.05337068909736486,Domain,Measure,10,30,spearman,none,1674
gender_group,beh,-1.646744088469626e-4,Gender,Respondent,10,30,spearman,none,1674
item_num,beh,0.0013099444450520854,Num. of Items,Measure,10,30,spearman,none,1674
panel,beh,0.15485180495016096,Panel,Panel,10,30,spearman,none,1674
sample_size,beh,0.010627020698689869,n,Respondent,10,30,spearman,none,1674
scale_type,beh,0.002056893255231998,Scale Type,Measure,10,30,spearman,none,1674
time_diff_mean,beh,0.029285533763303808,Retest Interval,Measure,10,30,spearman,none,1674
age_group,beh,0.00856552526013646,Age,Respondent,10,30,pearson,none,1674
domain_name,beh,0.05407885695100275,Domain,Measure,10,30,pearson,none,1674
gender_group,beh,-3.438505087491895e-4,Gender,Respondent,10,30,pearson,none,1674
item_num,beh,0.0011580050869224102,Num. of Items,Measure,10,30,pearson,none,1674
panel,beh,0.12935801324300752,Panel,Panel,10,30,pearson,none,1674
sample_size,beh,0.00917567275408401,n,Respondent,10,30,pearson,none,1674
scale_type,beh,0.003383310764684817,Scale Type,Measure,10,30,pearson,none,1674
time_diff_mean,beh,0.029972045113935187,Retest Interval,Measure,10,30,pearson,none,1674
age_group,beh,0.010632867507386685,Age,Respondent,10,30,icc2_1,none,1674
domain_name,beh,0.06269848871615803,Domain,Measure,10,30,icc2_1,none,1674
gender_group,beh,8.356431942521303e-4,Gender,Respondent,10,30,icc2_1,none,1674
item_num,beh,0.002318070965618581,Num. of Items,Measure,10,30,icc2_1,none,1674
panel,beh,0.13206279071289284,Panel,Panel,10,30,icc2_1,none,1674
sample_size,beh,0.008970950685845679,n,Respondent,10,30,icc2_1,none,1674
scale_type,beh,0.003866039219965726,Scale Type,Measure,10,30,icc2_1,none,1674
time_diff_mean,beh,0.02867629494356229,Retest Interval,Measure,10,30,icc2_1,none,1674
age_group,beh,0.007423800025003933,Age,Respondent,10,30,spearman,log,1674
domain_name,beh,0.05337068909736486,Domain,Measure,10,30,spearman,log,1674
gender_group,beh,-1.646744088469626e-4,Gender,Respondent,10,30,spearman,log,1674
item_num,beh,0.0013099444450520854,Num. of Items,Measure,10,30,spearman,log,1674
panel,beh,0.15485180495016096,Panel,Panel,10,30,spearman,log,1674
sample_size,beh,0.010627020698689869,n,Respondent,10,30,spearman,log,1674
scale_type,beh,0.002056893255231998,Scale Type,Measure,10,30,spearman,log,1674
time_diff_mean,beh,0.029285533763303808,Retest Interval,Measure,10,30,spearman,log,1674
age_group,beh,0.007562225453397226,Age,Respondent,10,30,pearson,log,1674
domain_name,beh,0.053338959906244154,Domain,Measure,10,30,pearson,log,1674
gender_group,beh,-2.913830622376482e-4,Gender,Respondent,10,30,pearson,log,1674
item_num,beh,0.0019252547046496246,Num. of Items,Measure,10,30,pearson,log,1674
panel,beh,0.12600092203034177,Panel,Panel,10,30,pearson,log,1674
sample_size,beh,0.009495792705693359,n,Respondent,10,30,pearson,log,1674
scale_type,beh,0.003592925930717835,Scale Type,Measure,10,30,pearson,log,1674
time_diff_mean,beh,0.028014776633247356,Retest Interval,Measure,10,30,pearson,log,1674
age_group,beh,0.00856552526013646,Age,Respondent,10,30,icc2_1,log,1674
domain_name,beh,0.05407885695100275,Domain,Measure,10,30,icc2_1,log,1674
gender_group,beh,-3.438505087491895e-4,Gender,Respondent,10,30,icc2_1,log,1674
item_num,beh,0.0011580050869224102,Num. of Items,Measure,10,30,icc2_1,log,1674
panel,beh,0.12935801324300752,Panel,Panel,10,30,icc2_1,log,1674
sample_size,beh,0.00917567275408401,n,Respondent,10,30,icc2_1,log,1674
scale_type,beh,0.003383310764684817,Scale Type,Measure,10,30,icc2_1,log,1674
time_diff_mean,beh,0.029972045113935187,Retest Interval,Measure,10,30,icc2_1,log,1674
age_group,beh,0.03905434496057755,Age,Respondent,5,100,spearman,none,948
domain_name,beh,0.12922010450372268,Domain,Measure,5,100,spearman,none,948
gender_group,beh,0.0011925413299584086,Gender,Respondent,5,100,spearman,none,948
item_num,beh,0.008416041825082899,Num. of Items,Measure,5,100,spearman,none,948
panel,beh,0.29015428563965245,Panel,Panel,5,100,spearman,none,948
sample_size,beh,0.032390806934930065,n,Respondent,5,100,spearman,none,948
scale_type,beh,0.006158934693942815,Scale Type,Measure,5,100,spearman,none,948
time_diff_mean,beh,0.08602657605532459,Retest Interval,Measure,5,100,spearman,none,948
age_group,beh,0.046006733628302855,Age,Respondent,5,100,pearson,none,948
domain_name,beh,0.13704369268593722,Domain,Measure,5,100,pearson,none,948
gender_group,beh,3.9834339922972513e-4,Gender,Respondent,5,100,pearson,none,948
item_num,beh,0.005833763856740849,Num. of Items,Measure,5,100,pearson,none,948
panel,beh,0.25706626203954785,Panel,Panel,5,100,pearson,none,948
sample_size,beh,0.0282579581997345,n,Respondent,5,100,pearson,none,948
scale_type,beh,0.003944137255550408,Scale Type,Measure,5,100,pearson,none,948
time_diff_mean,beh,0.07812477745276983,Retest Interval,Measure,5,100,pearson,none,948
age_group,beh,0.0447154981287012,Age,Respondent,5,100,icc2_1,none,948
domain_name,beh,0.13813570227877972,Domain,Measure,5,100,icc2_1,none,948
gender_group,beh,-1.5619663641980612e-4,Gender,Respondent,5,100,icc2_1,none,948
item_num,beh,0.005551715221433115,Num. of Items,Measure,5,100,icc2_1,none,948
panel,beh,0.25049928498563195,Panel,Panel,5,100,icc2_1,none,948
sample_size,beh,0.028675972468914387,n,Respondent,5,100,icc2_1,none,948
scale_type,beh,0.00391303182903096,Scale Type,Measure,5,100,icc2_1,none,948
time_diff_mean,beh,0.08162676317631136,Retest Interval,Measure,5,100,icc2_1,none,948
age_group,beh,0.03905434496057755,Age,Respondent,5,100,spearman,log,948
domain_name,beh,0.12922010450372268,Domain,Measure,5,100,spearman,log,948
gender_group,beh,0.0011925413299584086,Gender,Respondent,5,100,spearman,log,948
item_num,beh,0.008416041825082899,Num. of Items,Measure,5,100,spearman,log,948
panel,beh,0.29015428563965245,Panel,Panel,5,100,spearman,log,948
sample_size,beh,0.032390806934930065,n,Respondent,5,100,spearman,log,948
scale_type,beh,0.006158934693942815,Scale Type,Measure,5,100,spearman,log,948
time_diff_mean,beh,0.08602657605532459,Retest Interval,Measure,5,100,spearman,log,948
age_group,beh,0.04529385383254592,Age,Respondent,5,100,pearson,log,948
domain_name,beh,0.137771340314063,Domain,Measure,5,100,pearson,log,948
gender_group,beh,5.711836426939022e-4,Gender,Respondent,5,100,pearson,log,948
item_num,beh,0.006452393354743479,Num. of Items,Measure,5,100,pearson,log,948
panel,beh,0.2551103399919634,Panel,Panel,5,100,pearson,log,948
sample_size,beh,0.02795850669700373,n,Respondent,5,100,pearson,log,948
scale_type,beh,0.004436869170986861,Scale Type,Measure,5,100,pearson,log,948
time_diff_mean,beh,0.07541763139732492,Retest Interval,Measure,5,100,pearson,log,948
age_group,beh,0.046006733628302855,Age,Respondent,5,100,icc2_1,log,948
domain_name,beh,0.13704369268593722,Domain,Measure,5,100,icc2_1,log,948
gender_group,beh,3.9834339922972513e-4,Gender,Respondent,5,100,icc2_1,log,948
item_num,beh,0.005833763856740849,Num. of Items,Measure,5,100,icc2_1,log,948
panel,beh,0.25706626203954785,Panel,Panel,5,100,icc2_1,log,948
sample_size,beh,0.0282579581997345,n,Respondent,5,100,icc2_1,log,948
scale_type,beh,0.003944137255550408,Scale Type,Measure,5,100,icc2_1,log,948
time_diff_mean,beh,0.07812477745276983,Retest Interval,Measure,5,100,icc2_1,log,948
age_group,beh,0.015174339849152204,Age,Respondent,5,30,spearman,none,2399
domain_name,beh,0.057098138134313255,Domain,Measure,5,30,spearman,none,2399
gender_group,beh,-3.367108842250054e-4,Gender,Respondent,5,30,spearman,none,2399
item_num,beh,7.7532425660191e-4,Num. of Items,Measure,5,30,spearman,none,2399
panel,beh,0.15454212258158945,Panel,Panel,5,30,spearman,none,2399
sample_size,beh,0.014727156582180524,n,Respondent,5,30,spearman,none,2399
scale_type,beh,0.0022421131350751685,Scale Type,Measure,5,30,spearman,none,2399
time_diff_mean,beh,0.04542860822233579,Retest Interval,Measure,5,30,spearman,none,2399
age_group,beh,0.015519880523531877,Age,Respondent,5,30,pearson,none,2399
domain_name,beh,0.05334085744159959,Domain,Measure,5,30,pearson,none,2399
gender_group,beh,-3.220950836662438e-4,Gender,Respondent,5,30,pearson,none,2399
item_num,beh,0.0012157290980220246,Num. of Items,Measure,5,30,pearson,none,2399
panel,beh,0.12831790439059443,Panel,Panel,5,30,pearson,none,2399
sample_size,beh,0.012608345922787603,n,Respondent,5,30,pearson,none,2399
scale_type,beh,0.004328410296832438,Scale Type,Measure,5,30,pearson,none,2399
time_diff_mean,beh,0.04339454252091012,Retest Interval,Measure,5,30,pearson,none,2399
age_group,beh,0.016096599863835367,Age,Respondent,5,30,icc2_1,none,2399
domain_name,beh,0.05962661475931703,Domain,Measure,5,30,icc2_1,none,2399
gender_group,beh,-2.1785821330439995e-5,Gender,Respondent,5,30,icc2_1,none,2399
item_num,beh,0.0011680752638431721,Num. of Items,Measure,5,30,icc2_1,none,2399
panel,beh,0.13106303270687716,Panel,Panel,5,30,icc2_1,none,2399
sample_size,beh,0.01268335813631125,n,Respondent,5,30,icc2_1,none,2399
scale_type,beh,0.0048344642361195555,Scale Type,Measure,5,30,icc2_1,none,2399
time_diff_mean,beh,0.04264415856040109,Retest Interval,Measure,5,30,icc2_1,none,2399
age_group,beh,0.015174339849152204,Age,Respondent,5,30,spearman,log,2399
domain_name,beh,0.057098138134313255,Domain,Measure,5,30,spearman,log,2399
gender_group,beh,-3.367108842250054e-4,Gender,Respondent,5,30,spearman,log,2399
item_num,beh,7.7532425660191e-4,Num. of Items,Measure,5,30,spearman,log,2399
panel,beh,0.15454212258158945,Panel,Panel,5,30,spearman,log,2399
sample_size,beh,0.014727156582180524,n,Respondent,5,30,spearman,log,2399
scale_type,beh,0.0022421131350751685,Scale Type,Measure,5,30,spearman,log,2399
time_diff_mean,beh,0.04542860822233579,Retest Interval,Measure,5,30,spearman,log,2399
age_group,beh,0.014681588679942861,Age,Respondent,5,30,pearson,log,2399
domain_name,beh,0.0533883603308362,Domain,Measure,5,30,pearson,log,2399
gender_group,beh,-3.230089878671931e-4,Gender,Respondent,5,30,pearson,log,2399
item_num,beh,0.001354988037818633,Num. of Items,Measure,5,30,pearson,log,2399
panel,beh,0.12631579342288055,Panel,Panel,5,30,pearson,log,2399
sample_size,beh,0.01280570589168817,n,Respondent,5,30,pearson,log,2399
scale_type,beh,0.004478010517222221,Scale Type,Measure,5,30,pearson,log,2399
time_diff_mean,beh,0.041172635904013814,Retest Interval,Measure,5,30,pearson,log,2399
age_group,beh,0.015519880523531877,Age,Respondent,5,30,icc2_1,log,2399
domain_name,beh,0.05334085744159959,Domain,Measure,5,30,icc2_1,log,2399
gender_group,beh,-3.220950836662438e-4,Gender,Respondent,5,30,icc2_1,log,2399
item_num,beh,0.0012157290980220246,Num. of Items,Measure,5,30,icc2_1,log,2399
panel,beh,0.12831790439059443,Panel,Panel,5,30,icc2_1,log,2399
sample_size,beh,0.012608345922787603,n,Respondent,5,30,icc2_1,log,2399
scale_type,beh,0.004328410296832438,Scale Type,Measure,5,30,icc2_1,log,2399
time_diff_mean,beh,0.04339454252091012,Retest Interval,Measure,5,30,icc2_1,log,2399
